date,Y
2013-01-01,1247.7304916190126
2013-01-02,1375.3506933430638
2013-01-03,1301.0038445349642
2013-01-04,2012.03082261261
2013-01-05,1474.913334080607
2013-01-06,1989.466935741954
2013-01-07,1925.5167808097085
2013-01-08,1782.5984980684968
2013-01-09,1800.8369388785634
2013-01-10,1860.4316189019423
2013-01-11,1906.0257258384058
2013-01-12,1428.161081945569
2013-01-13,1419.2457750355195
2013-01-14,956.0395370869887
2013-01-15,571.1026053614595
2013-01-16,100.66847476756969
2013-01-17,-430.21417898310955
2013-01-18,-539.29455792224
2013-01-19,-675.75411395511
2013-01-20,-238.51778908283143
2013-01-21,-715.6168949199518
2013-01-22,-330.848827058656
2013-01-23,-613.3596721181538
2013-01-24,0.26204375483290443
2013-01-25,-449.38878897270814
2013-01-26,-573.7137278029095
2013-01-27,-728.94043532607
2013-01-28,-64.94759006463912
2013-01-29,403.0848914266829
2013-01-30,702.7717661543546
2013-01-31,768.1693600318162
2013-02-01,941.7993402320348
2013-02-02,1051.5766315780531
2013-02-03,886.6368087174797
2013-02-04,1195.639249565262
2013-02-05,1702.8976725101936
2013-02-06,1913.3526204940451
2013-02-07,2234.5270121849267
2013-02-08,2052.9187904886035
2013-02-09,1828.3087030658687
2013-02-10,2460.8372057366996
2013-02-11,2046.276605628894
2013-02-12,2529.442661189124
2013-02-13,1915.3119388848804
2013-02-14,2633.32853538206
2013-02-15,2152.776803366534
2013-02-16,2483.630804392282
2013-02-17,2659.811821907251
2013-02-18,3523.928128916071
2013-02-19,3710.7921184015586
2013-02-20,3442.613403842488
2013-02-21,3521.401238160736
2013-02-22,3857.295265791068
2013-02-23,5046.348572130045
2013-02-24,4758.740052577923
2013-02-25,5492.973904737604
2013-02-26,5336.08948818167
2013-02-27,5726.814088354828
2013-02-28,5128.193683691259
2013-03-01,5585.26557557594
2013-03-02,5583.543981225933
2013-03-03,5907.213988520438
2013-03-04,6310.509503284886
2013-03-05,6405.258422057005
2013-03-06,6846.749915320717
2013-03-07,7137.985533358738
2013-03-08,7600.794544422523
2013-03-09,7473.727823244378
2013-03-10,7583.634093595429
2013-03-11,7763.847950743498
2013-03-12,7950.179775728732
2013-03-13,7920.8189228658
2013-03-14,7982.324978856868
2013-03-15,8032.728493004714
2013-03-16,8085.265048571689
2013-03-17,8805.782156598108
2013-03-18,9418.574130436093
2013-03-19,9287.057759863486
2013-03-20,10022.414306286877
2013-03-21,10290.396557655771
