date,Y
2013-01-01,22.80707958432956
2013-01-02,-1629.25690987889
2013-01-03,-1377.6100199260027
2013-01-04,1868.2464545426901
2013-01-05,-565.5880670621332
2013-01-06,1197.0620871837154
2013-01-07,-396.27085970512786
2013-01-08,126.31314141223916
2013-01-09,-1692.594396572507
2013-01-10,-1740.532796380426
2013-01-11,2021.276227587742
2013-01-12,-423.29347809110203
2013-01-13,1310.8037667978651
2013-01-14,-507.32873765722667
2013-01-15,-91.35519829611333
2013-01-16,-1711.0645613578072
2013-01-17,-1441.1538984379022
2013-01-18,1849.6385930049291
2013-01-19,-162.69826087622718
2013-01-20,1168.7800730947008
2013-01-21,-356.23810855454246
2013-01-22,-296.76603872644995
2013-01-23,-1904.6969336448044
2013-01-24,-1751.1926160072387
2013-01-25,1866.0427793315628
2013-01-26,-30.02609090454675
2013-01-27,1112.7865809653383
2013-01-28,-33.057933986438655
2013-01-29,-244.3946090623601
2013-01-30,-1755.6608520297348
2013-01-31,-1747.3882303381913
2013-02-01,1666.3690790621808
2013-02-02,262.22104488153235
2013-02-03,1218.8344489939495
2013-02-04,155.78386683130216
2013-02-05,-304.87058668514317
2013-02-06,-1533.2122955526243
2013-02-07,-1651.3061011083353
2013-02-08,1562.3457171048374
2013-02-09,406.17242693287227
2013-02-10,1017.6735704107742
2013-02-11,607.4503246668198
2013-02-12,-846.8047846823631
2013-02-13,-1700.7684488218283
2013-02-14,-1154.1833959417627
2013-02-15,1771.2038506648591
2013-02-16,737.2029584079969
2013-02-17,1190.0163527229697
2013-02-18,559.5200991442845
2013-02-19,-1200.2594813442463
2013-02-20,-1476.0296325487664
2013-02-21,-621.9184022573205
2013-02-22,1944.3063353811726
2013-02-23,940.4865024965951
2013-02-24,1229.6834972698975
2013-02-25,604.562845540652
2013-02-26,-1103.1269174571503
2013-02-27,-1341.2296491003456
2013-02-28,-399.58801390119197
2013-03-01,1627.923220540598
2013-03-02,998.1238572325707
2013-03-03,775.2569748552297
2013-03-04,1065.935253107195
2013-03-05,-1208.075832353562
2013-03-06,-1296.979458064016
2013-03-07,-264.3808766856215
2013-03-08,1476.7915534743024
2013-03-09,555.359028180745
2013-03-10,341.7266951588303
2013-03-11,1212.0968012821168
2013-03-12,-1562.1314993328056
2013-03-13,-1429.5983803605593
2013-03-14,126.50020840837523
2013-03-15,1426.533427293214
2013-03-16,235.189458369377
2013-03-17,88.1030024719489
2013-03-18,823.8708141775868
2013-03-19,-1738.3441017792502
2013-03-20,-1544.6383224233239
2013-03-21,70.601358044722
2013-03-22,1390.6365700274214
2013-03-23,-31.977935228349043
2013-03-24,74.86596616882854
2013-03-25,765.9165402681683
2013-03-26,-1607.4191093237155
2013-03-27,-1547.6824766652612
2013-03-28,146.15663387563342
2013-03-29,1603.580347458458
2013-03-30,338.70882373336127
2013-03-31,372.3147358069594
